,date,symbol,pos_type,fut_gap_filled
0,2016-01-06,AAPL,long,-0.1581374758
327,2016-01-06,NFLX,long,4.324889503
1,2016-01-07,AAPL,long,-0.2821828343
501,2016-01-07,MSFT,long,-0.4148198684
100,2016-01-07,TSLA,long,-0.1237105699
2,2016-01-08,AAPL,short,-0.1476225471
420,2016-01-08,F,short,0.5714263827
3,2016-01-11,AAPL,short,-0.18906369
421,2016-01-11,F,short,-0.03846257983
4,2016-01-12,AAPL,short,-0.1534561784
422,2016-01-12,F,short,0.7307657915
5,2016-01-15,AAPL,long,-0.5451790632
423,2016-01-15,F,long,-0.5000031387
502,2016-01-15,MSFT,long,-0.6333336955
101,2016-01-15,TSLA,long,-0.1539527846
328,2016-01-15,NFLX,long,-0.3369327179
569,2016-01-15,GOOG,long,-0.355772763
329,2016-01-19,NFLX,short,-0.596839077
102,2016-01-20,TSLA,long,-0.646616784
6,2016-01-22,AAPL,short,-0.8884146881
424,2016-01-22,F,short,-0.07999019829
330,2016-01-22,NFLX,short,1.320672416
103,2016-01-22,TSLA,short,0.1946167728
570,2016-01-22,GOOG,short,-0.7954724049
7,2016-01-27,AAPL,long,-0.8506340334
331,2016-01-28,NFLX,short,0.3866181864
571,2016-01-28,GOOG,short,-0.5560052277
503,2016-01-29,MSFT,short,-0.7265933101
332,2016-01-29,NFLX,long,-0.008300515379
104,2016-02-02,TSLA,long,-0.8451333035
572,2016-02-02,GOOG,short,-0.3892315204
105,2016-02-05,TSLA,long,-0.5781654511
106,2016-02-08,TSLA,long,-0.990908886
333,2016-02-08,NFLX,long,0.8603581002
573,2016-02-08,GOOG,long,0.02926342518
107,2016-02-09,TSLA,long,2.081131358
334,2016-02-10,NFLX,short,-0.4494772408
108,2016-02-11,TSLA,short,-0.3997600359
504,2016-02-11,MSFT,long,0.3883532325
109,2016-02-12,TSLA,short,1.494481111
110,2016-02-16,TSLA,short,-0.4007836068
111,2016-02-17,TSLA,short,-0.3942565313
112,2016-02-18,TSLA,short,1.045455009
113,2016-02-22,TSLA,short,-0.9237326034
425,2016-02-24,F,long,-1
114,2016-02-24,TSLA,long,0.513451908
426,2016-03-01,F,short,-0.4199995038
335,2016-03-11,NFLX,short,0.6093007576
115,2016-03-14,TSLA,short,-0.6097078605
116,2016-03-24,TSLA,long,0.927941523
117,2016-03-30,TSLA,short,0.7318561645
118,2016-04-01,TSLA,short,-0.2310766004
119,2016-04-04,TSLA,short,-0.5247177852
120,2016-04-05,TSLA,long,1.474577018
336,2016-04-19,NFLX,long,-0.789000661
505,2016-04-22,MSFT,long,-0.8656322394
574,2016-04-22,GOOG,long,-0.7009744429
8,2016-04-27,AAPL,long,-0.6754493992
121,2016-05-05,TSLA,short,2.164406944
9,2016-05-16,AAPL,short,-0.604278161
122,2016-05-18,TSLA,short,-0.6881940137
337,2016-05-26,NFLX,short,-0.3920264012
338,2016-06-10,NFLX,long,-0.7873296763
506,2016-06-13,MSFT,long,-0.4000012749
123,2016-06-22,TSLA,long,-0.6782528156
10,2016-06-24,AAPL,long,-0.4514105376
124,2016-06-24,TSLA,long,-0.201575139
507,2016-06-24,MSFT,long,-0.461906221
427,2016-06-24,F,long,-0.8032790946
339,2016-06-24,NFLX,long,-0.2832940472
575,2016-06-24,GOOG,long,-0.4670398877
428,2016-06-28,F,short,-0.1923087548
340,2016-06-28,NFLX,short,-0.5192311925
429,2016-07-01,F,short,-0.387093454
125,2016-07-01,TSLA,long,0.9706815195
341,2016-07-01,NFLX,short,-0.943182631
126,2016-07-05,TSLA,long,-0.2895112736
342,2016-07-06,NFLX,long,-0.6631945916
508,2016-07-20,MSFT,short,-0.7973850396
343,2016-07-26,NFLX,short,-0.9614250915
11,2016-07-27,AAPL,short,-0.7999998691
430,2016-07-28,F,long,-0.9245285013
576,2016-07-29,GOOG,short,-0.7783585217
127,2016-10-03,TSLA,short,-0.5102793909
128,2016-10-06,TSLA,long,-0.7083347903
129,2016-10-10,TSLA,short,-0.6434592959
509,2016-10-21,MSFT,short,-0.73927304
12,2016-10-26,AAPL,long,-0.6472085937
130,2016-10-27,TSLA,short,0.06483519247
431,2016-11-09,F,long,0.4545378825
131,2016-11-09,TSLA,long,-0.3647627882
344,2016-11-09,NFLX,long,-0.2759979248
432,2016-12-01,F,short,-0.8148155761
132,2017-01-19,TSLA,short,-0.2688417737
345,2017-01-19,NFLX,short,-0.5702863421
13,2017-02-01,AAPL,short,-0.9964794613
133,2017-02-23,TSLA,long,-0.9305994007
134,2017-02-27,TSLA,long,-0.978481338
135,2017-03-16,TSLA,short,-0.4992507864
136,2017-03-28,TSLA,short,-0.7029418035
137,2017-04-03,TSLA,short,-0.7302323415
138,2017-04-10,TSLA,short,-0.9334333656
346,2017-04-25,NFLX,short,-0.6584011501
577,2017-04-28,GOOG,short,-0.8656974122
433,2017-05-22,F,short,-0.4583385034
347,2017-05-25,NFLX,short,-0.8615394005
14,2017-06-12,AAPL,long,-0.891978014
139,2017-06-13,TSLA,short,-0.8826925292
140,2017-06-15,TSLA,long,-0.6372539853
141,2017-07-03,TSLA,short,1.171493613
142,2017-07-06,TSLA,long,-0.6408964346
348,2017-07-18,NFLX,short,-0.8696262231
578,2017-07-25,GOOG,long,-0.7779868773
15,2017-08-02,AAPL,short,-0.6619707992
143,2017-08-03,TSLA,short,-0.8878589033
349,2017-08-09,NFLX,long,-0.3463190691
144,2017-09-11,TSLA,short,-0.8301903994
145,2017-10-09,TSLA,long,-0.7095446631
510,2017-10-27,MSFT,short,-0.8645273671
579,2017-10-27,GOOG,short,-0.9729732432
146,2017-11-02,TSLA,long,-0.5914088333
16,2017-11-03,AAPL,short,-0.5110329502
147,2017-11-17,TSLA,short,-0.04935494896
17,2017-12-26,AAPL,long,-0.8408549501
350,2018-01-02,NFLX,short,-0.8357468515
434,2018-01-17,F,long,-1
148,2018-01-23,TSLA,short,0.06635028249
351,2018-01-30,NFLX,long,-0.2450574768
580,2018-02-02,GOOG,long,-0.9765875835
352,2018-02-05,NFLX,long,0.08655651099
149,2018-02-06,TSLA,long,0.3901540329
353,2018-02-06,NFLX,long,1.896344867
581,2018-02-06,GOOG,long,0.9053080549
511,2018-02-23,MSFT,short,-0.3368979209
150,2018-03-13,TSLA,long,0.1005929715
435,2018-03-14,F,short,-0.4893638382
512,2018-03-26,MSFT,short,-0.938775722
354,2018-03-26,NFLX,short,-0.1258907019
582,2018-03-26,GOOG,short,0.5390907433
151,2018-03-28,TSLA,long,-0.7191780106
152,2018-04-02,TSLA,long,-0.5876383889
153,2018-04-03,TSLA,short,-0.1159170007
18,2018-04-04,AAPL,long,1.031331046
154,2018-04-04,TSLA,long,1.412880742
436,2018-04-04,F,long,0.7499931172
513,2018-04-04,MSFT,long,1.63978581
355,2018-04-04,NFLX,long,0.6613524382
155,2018-04-10,TSLA,short,-0.4317943423
356,2018-04-10,NFLX,short,-0.2270980343
156,2018-04-13,TSLA,short,-0.1995784598
357,2018-04-13,NFLX,short,0.1268641704
358,2018-04-17,NFLX,short,-0.7308037782
19,2018-04-19,AAPL,long,-0.6004862962
437,2018-04-26,F,short,-0.5806431723
514,2018-04-27,MSFT,short,0.1047843775
20,2018-05-02,AAPL,short,-0.7667217897
157,2018-05-03,TSLA,long,-0.5863143474
158,2018-05-15,TSLA,long,-0.7198284485
159,2018-06-06,TSLA,short,-0.6776941601
160,2018-06-12,TSLA,short,-0.4682532955
359,2018-06-20,NFLX,short,-0.4542775694
360,2018-06-26,NFLX,short,-0.5193162666
361,2018-06-27,NFLX,short,1.149331002
161,2018-07-02,TSLA,short,0.7651846851
162,2018-07-11,TSLA,long,-0.07946216911
163,2018-07-16,TSLA,long,-0.5181544527
164,2018-07-19,TSLA,long,-0.04122111073
515,2018-07-20,MSFT,short,-0.4565229906
165,2018-07-23,TSLA,long,-0.6882459213
583,2018-07-24,GOOG,short,-0.5265383883
438,2018-07-25,F,long,-5.44E-06
439,2018-07-26,F,long,-0.9473694385
21,2018-08-01,AAPL,short,-0.7941167439
166,2018-08-02,TSLA,short,-0.8086958445
167,2018-08-08,TSLA,long,0.2929380803
168,2018-08-17,TSLA,long,-0.7263600437
169,2018-08-20,TSLA,long,0.2173922658
362,2018-08-24,NFLX,short,-0.7862380197
363,2018-08-27,NFLX,short,-0.1416560118
170,2018-09-07,TSLA,long,-0.6043169219
171,2018-09-10,TSLA,short,-0.7744514474
172,2018-09-11,TSLA,long,-0.580429866
173,2018-10-05,TSLA,long,-0.9679655934
22,2018-10-12,AAPL,short,-0.4003347516
516,2018-10-12,MSFT,short,-0.3903211687
174,2018-10-12,TSLA,short,0.02508476493
