,date,symbol,gap,pos_type,now_open
33373,2020-01-02,BRTX,0.06000003815,short,21.20000076
255954,2020-01-02,YINN,0.04975104483,short,22.91153215
157330,2020-01-02,NRBO,0.04571424212,short,9.149999619
58480,2020-01-02,CWEB,0.04382494792,short,29.31999969
247490,2020-01-02,WB,0.04207121526,short,48.29999924
178020,2020-01-02,PMCB,0.04197534165,short,65.41000366
121004,2020-01-02,JNUG,0.04169166197,short,863.6318169
38831,2020-01-02,CAMT,0.03878117075,short,11.25
209853,2020-01-02,SOXL,0.03751543376,short,18.96718588
142576,2020-01-02,MLCO,0.03640872357,short,24.82011967
48624,2020-01-02,CMMB,0.03571433741,short,23.20000076
57065,2020-01-02,CUEN,0.03333334449,short,11.77999973
52447,2020-01-02,CPRI,0.03250321924,short,39.38999939
60543,2020-01-02,DBI,0.03240153979,short,16.25
159182,2020-01-02,NUGT,0.03214699312,short,179.8000031
250740,2020-01-02,WRK,0.03192743471,short,42.37321324
107429,2020-01-02,HUBG,0.02885551795,short,52.77000046
222862,2020-01-02,TECL,0.02792141068,short,24.65898743
225903,2020-01-02,TMF,0.02786365853,short,25.42968192
190087,2020-01-02,RGP,0.02755669106,short,15.56521488
98613,2020-01-02,GREE,0.02752287855,short,9.73913002
64784,2020-01-02,DPST,0.02740786738,short,104.5841903
53313,2020-01-02,CQQQ,0.0268162848,short,53.73112022
237118,2020-01-02,USD,0.02642237068,short,15.78261339
37840,2020-01-02,BZUN,0.02626819972,short,33.99000168
95178,2020-01-02,GIII,0.02597011737,short,34.36999893
100597,2020-01-03,GUSH,0.09576538177,short,1580.491885
242064,2020-01-03,VIXY,0.07949789326,short,51.59999847
233656,2020-01-03,UCO,0.0703125,short,548
121005,2020-01-03,JNUG,0.05801936468,short,883.8942004
255232,2020-01-03,YANG,0.05673572979,short,37.74453359
52186,2020-01-03,CPE,0.05531911647,short,49.59999847
156084,2020-01-03,NOG,0.05381177143,short,23.41243664
159183,2020-01-03,NUGT,0.05231566309,short,184.0500031
70826,2020-01-03,EDZ,0.04792131772,short,32.98176085
150843,2020-01-03,NBR,0.04729733366,short,151.4772823
223126,2020-01-03,TECS,0.04579022815,short,707.0301519
210211,2020-01-03,SOXS,0.04499493724,short,247.5897818
206687,2020-01-03,SM,0.04468260198,short,11.53088487
133386,2020-01-03,LPI,0.0434782188,short,57.59999847
47266,2020-01-03,CLR,0.04158133249,short,35.22324076
139735,2020-01-03,MDVL,0.04098356651,short,15.23999977
127996,2020-01-03,LABD,0.03974561716,short,260.9961243
61966,2020-01-03,DFEN,0.0390790901,short,63.20563708
213570,2020-01-03,SQQQ,0.03896715699,short,110.3351065
232597,2020-01-03,TZA,0.03816576816,short,291.3589987
219586,2020-01-03,SYNA,0.03803194328,short,68.77999878
214466,2020-01-03,SRTY,0.03732585054,short,93.0174978
31054,2020-01-03,BNO,0.03719602824,short,21.75
135486,2020-01-03,LW,0.03638981934,short,84.81415388
237753,2020-01-03,USO,0.03590944755,short,106.1600037
168757,2020-01-03,OVV,0.03586490191,short,22.84010705
139736,2020-01-06,MDVL,0.08943087225,short,16.07999992
157887,2020-01-06,NSPR,0.0841121773,short,17.39999962
196124,2020-01-06,SAVA,0.08290157745,short,10.44999981
48204,2020-01-06,CMC,0.07394052068,short,22.82776835
121006,2020-01-06,JNUG,0.06705959539,short,862.9365135
95764,2020-01-06,GLBS,0.06422018349,short,116
20742,2020-01-06,AVAV,0.06254641565,short,71.51999664
159184,2020-01-06,NUGT,0.05908028938,short,181.9499969
238311,2020-01-06,UVXY,0.04919287929,short,136.5
57066,2020-01-06,CUEN,0.04412814057,short,11.73600006
127291,2020-01-06,KTOS,0.04309496364,short,21.29999924
6132,2020-01-06,AGQ,0.03975151394,short,33.47999954
182430,2020-01-06,PUMP,0.03964755896,short,11.80000019
120015,2020-01-06,JELD,0.03806224606,short,24
100598,2020-01-06,GUSH,0.03541216274,short,1564.123922
31406,2020-01-06,BOIL,0.03517591841,short,82.40000153
210212,2020-01-06,SOXS,0.03501190816,short,258.4899442
234705,2020-01-06,UGL,0.03447604628,short,52.81000137
163874,2020-01-06,OI,0.03217604932,short,12.13962792
223127,2020-01-06,TECS,0.03147356446,short,720.0123655
242065,2020-01-06,VIXY,0.03107564811,short,51.75999832
128695,2020-01-06,LBRT,0.03074133687,short,11.30594011
37591,2020-01-06,BZQ,0.03032005184,short,36.68255228
241423,2020-01-06,VIRX,0.02777774632,short,12.98245621
204232,2020-01-06,SILJ,0.02722770829,short,12.27290124
214955,2020-01-06,SSRM,0.02591796646,short,18.81653321
48625,2020-01-07,CMMB,0.09071426887,short,24.43199921
43961,2020-01-07,CFRX,0.08139532305,short,9.300000191
133261,2020-01-07,LPG,0.05721718579,short,15.01877828
252938,2020-01-07,XFOR,0.04138588424,short,10.81999969
138583,2020-01-07,MCHP,0.0402006716,short,52.76260216
241677,2020-01-07,VIVE,0.03960392113,short,10.5
139737,2020-01-07,MDVL,0.03816790188,short,16.31999969
110001,2020-01-07,IDCC,0.03692020129,short,53.70378719
159855,2020-01-07,NUWE,0.0348837811,short,26.70000076
148465,2020-01-07,MU,0.0337875796,short,55.30269814
232500,2020-01-07,TYL,0.03304213366,short,320.4599915
209856,2020-01-07,SOXL,0.03226995828,short,18.36383739
211672,2020-01-07,SPNS,0.03225804165,short,23.59498002
213159,2020-01-07,SQ,0.03196420025,short,64.56999969
26390,2020-01-07,BECN,0.02996940426,short,33.68000031
225687,2020-01-07,TKR,0.02944294112,short,56.50501499
248092,2020-01-07,WDC,0.02903582411,short,64.36683771
7323,2020-01-07,AJRD,0.02883438135,short,45.33472609
166129,2020-01-07,OPCH,0.02777781123,short,16.28000069
26764,2020-01-07,BEN,0.02609717678,short,23.94487304
125666,2020-01-07,KORU,0.02593062428,short,24.5276803
200087,2020-01-07,SEAS,0.02496921725,short,33.25
143794,2020-01-07,MNDT,0.02387720709,short,18.01000023
230051,2020-01-07,TSLA,0.02183638384,short,92.27999878
2439,2020-01-07,ACMR,0.02095240638,short,21.44000053
121888,2020-01-07,K,0.02031208973,short,65.06181893
178022,2020-01-08,PMCB,0.07526886273,short,77.5
211567,2020-01-08,SPNE,0.07438652376,short,14.01000023
51248,2020-01-08,COMM,0.05869241899,short,14.25
51126,2020-01-08,COLL,0.05218258867,short,20.96999931
199266,2020-01-08,SCYX,0.04444440206,short,9.399999619
7076,2020-01-08,AIR,0.03820812097,short,47.27999878
101497,2020-01-08,HALO,0.03815938927,short,18.5
221011,2020-01-08,TARA,0.03636360168,short,22.79999924
33375,2020-01-08,BRTX,0.0344827813,short,36
141787,2020-01-08,MHO,0.03226583655,short,42.86999893
253604,2020-01-08,XNCR,0.03203145223,short,36.72999954
137595,2020-01-08,MAXR,0.03003348282,short,18.46213525
95765,2020-01-08,GLBS,0.02941176471,short,105
217530,2020-01-08,STZ,0.02805004737,short,183.1139164
129816,2020-01-08,LEN,0.02695135243,short,57.50364628
45643,2020-01-08,CIEN,0.02647418313,short,42.65000153
221447,2020-01-08,TBPH,0.02581466915,short,24.23999977
61132,2020-01-08,DDD,0.02497154403,short,9.029999733
241424,2020-01-08,VIRX,0.02439021642,short,14.73684216
255233,2020-01-08,YANG,0.02360734816,short,38.52317969
112501,2020-01-08,IMUX,0.02354260497,short,9.130000114
146943,2020-01-08,MSM,0.02317943078,short,64.98194048
136287,2020-01-08,M,0.02263725451,short,17.22684464
257196,2020-01-08,ZBRA,-0.02023629437,long,251.2799988
210513,2020-01-08,SPCE,-0.02112674105,long,11.11999989
255956,2020-01-08,YINN,-0.0212296786,long,21.8454196
259139,2020-01-09,ZYXI,0.08618648397,short,9.199999809
102966,2020-01-09,HELE,0.07428847053,short,196.6699982
139254,2020-01-09,MDGL,0.07259089215,short,92.94000244
59209,2020-01-09,CYCC,0.06944444628,short,15.39999962
178023,2020-01-09,PMCB,0.06862739042,short,84.47499847
14013,2020-01-09,APLS,0.05288706508,short,41.20999908
241425,2020-01-09,VIRX,0.05128206379,short,14.38596535
160179,2020-01-09,NVCR,0.05045176491,short,83.69999695
172348,2020-01-09,PCRX,0.04895593237,short,45.20999908
91927,2020-01-09,FWBI,0.04166666667,short,12.5
125667,2020-01-09,KORU,0.0391760422,short,25.72756506
207808,2020-01-09,SNAP,0.03719261166,short,17.29000092
209857,2020-01-09,SOXL,0.03601315722,short,19.42351964
88813,2020-01-09,FOLD,0.03594081937,short,9.800000191
231465,2020-01-09,TUR,0.03563557794,short,27.08042799
198590,2020-01-09,SCO,0.03425775436,short,50.72000122
243634,2020-01-09,VOYA,0.03229635501,short,59.90266376
109356,2020-01-09,ICD,0.03103107375,short,20.60000038
67709,2020-01-09,DUST,0.03084422952,short,157.7908933
119768,2020-01-09,JDST,0.03081232164,short,273.429952
101498,2020-01-09,HALO,0.02981025552,short,19
218388,2020-01-09,SURG,0.02857142857,short,18
58482,2020-01-09,CWEB,0.02854489596,short,33.15000153
222865,2020-01-09,TECL,0.02666193083,short,26.09784035
255957,2020-01-09,YINN,0.02523235124,short,22.86217418
150503,2020-01-09,NATI,0.02507146555,short,41.20504652
178024,2020-01-10,PMCB,0.07632091445,short,85.25
37268,2020-01-10,BYSI,0.0695651494,short,17.21999931
194014,2020-01-10,RVNC,0.05611156826,short,17.40999985
206836,2020-01-10,SMCI,0.04999999178,short,24.36000061
43964,2020-01-10,CFRX,0.0471807619,short,9.100000381
154223,2020-01-10,NKTR,0.04585455137,short,22.57999992
199267,2020-01-10,SCYX,0.04477609957,short,10.5
14280,2020-01-10,APPN,0.04220101187,short,44.70000076
154533,2020-01-10,NLTX,0.04092919105,short,9.409999847
25182,2020-01-10,BBBY,0.04089220198,short,13.68888852
112909,2020-01-10,INDP,0.03999996185,short,41.59999847
124062,2020-01-10,KMPH,0.03857561176,short,11.19999981
1318,2020-01-10,ABMD,0.03812636039,short,190.6000061
256855,2020-01-10,YUMC,0.03773190405,short,49.8008152
183494,2020-01-10,QDEL,0.03729476403,short,78.98999786
115954,2020-01-10,ISRG,0.03364682891,short,201.8333282
243982,2020-01-10,VRDN,0.03338628154,short,9.75
125668,2020-01-10,KORU,0.03070873843,short,26.1775245
32284,2020-01-10,BPMC,0.02697352528,short,83
33692,2020-01-10,BRZU,0.02660869012,short,1300.31946
154280,2020-01-10,NLOK,0.02622690687,short,15.28961882
146437,2020-01-10,MRTX,0.02610726972,short,101.0100021
206099,2020-01-10,SLP,0.02525244005,short,32.17160135
241426,2020-01-10,VIRX,0.02500004077,short,14.38596535
63886,2020-01-10,DMTK,0.02489182918,short,9.470000267
112910,2020-01-13,INDP,0.09375000582,short,44.79999924
108187,2020-01-13,HXL,0.07913858105,short,78.50045707
61133,2020-01-13,DDD,0.07007005258,short,10.68999958
154224,2020-01-13,NKTR,0.0624071434,short,28.60000038
160665,2020-01-13,NVTA,0.06040671473,short,17.72999954
42470,2020-01-13,CDNA,0.06007069996,short,21
256178,2020-01-13,YMTX,0.05820107956,short,40
11223,2020-01-13,AMRN,0.05329806232,short,19.95999908
22933,2020-01-13,AXSM,0.04753324261,short,93
4060,2020-01-13,ADVM,0.04688214469,short,11.5
222222,2020-01-13,TDOC,0.04556126217,short,89.04000092
218390,2020-01-13,SURG,0.04250001907,short,20.85000038
93649,2020-01-13,GCP,0.03710097494,short,24.04000092
50662,2020-01-13,COE,0.03547458051,short,10.80000019
14281,2020-01-13,APPN,0.03518271015,short,45.90000153
222538,2020-01-13,TEAM,0.03502615874,short,138.5899963
58483,2020-01-13,CWEB,0.03398499453,short,34.38000107
71739,2020-01-13,EHC,0.03339406793,short,71.34439208
125669,2020-01-13,KORU,0.03313017758,short,27.12743306
107430,2020-01-13,HUBG,0.03229502327,short,54.02000046
230052,2020-01-13,TSLA,0.03210289431,short,98.69999695
12283,2020-01-13,ANF,0.03009252217,short,17.54258835
33376,2020-01-13,BRTX,0.02941173583,short,28
37269,2020-01-13,BYSI,0.02815378869,short,18.98999977
223483,2020-01-13,TER,0.02782277892,short,69.29993459
143652,2020-01-14,MMSI,0.09379508966,short,37.90000153
43965,2020-01-14,CFRX,0.08403361614,short,12.89999962
89851,2020-01-14,FRTA,0.07916665077,short,12.94999981
101499,2020-01-14,HALO,0.06553007524,short,20
258716,2020-01-14,ZUMZ,0.06295393338,short,35.11999893
180029,2020-01-14,PRGO,0.05540169455,short,51.58216599
57929,2020-01-14,CVM,0.0524625014,short,9.829999924
95034,2020-01-14,GFF,0.05094239698,short,20.10966675
159857,2020-01-14,NUWE,0.04761904762,short,33
58687,2020-01-14,CWH,0.0455171223,short,13.66849498
59912,2020-01-14,DAL,0.04286434935,short,61.61421786
233827,2020-01-14,UCTT,0.04279273977,short,23.14999962
210515,2020-01-14,SPCE,0.04160588733,short,14.27000046
2339,2020-01-14,ACM,0.04120642632,short,49.02000046
230053,2020-01-14,TSLA,0.03696221134,short,108.8519974
31409,2020-01-14,BOIL,0.03571428571,short,87
206837,2020-01-14,SMCI,0.03472464971,short,29.5
243983,2020-01-14,VRDN,0.0339734393,short,10.5
255235,2020-01-14,YANG,0.03369811076,short,35.82785412
138657,2020-01-14,MCK,0.03369290858,short,145.9213471
112911,2020-01-14,INDP,0.03275531299,short,42.88000107
5854,2020-01-14,AGIO,0.03222244626,short,46.77000046
180500,2020-01-14,PRPL,0.03084111491,short,11.02999973
89615,2020-01-14,FRC,0.0308357694,short,117.635017
2441,2020-01-14,ACMR,0.02739723343,short,27
33377,2020-01-15,BRTX,0.09090909091,short,24
172273,2020-01-15,PCG,0.05453016899,short,12.56999969
69764,2020-01-15,ECHO,0.04963234891,short,22.84000015
125101,2020-01-15,KOLD,0.04639173383,short,40.59999847
203154,2020-01-15,SHAK,0.04336971678,short,66.87999725
29300,2020-01-15,BLCM,0.03428573608,short,18.10000038
95767,2020-01-15,GLBS,0.03092783505,short,100
24418,2020-01-15,B,0.02940724085,short,63.88936183
222126,2020-01-15,TDG,0.02706072327,short,625.4799805
41255,2020-01-15,CCEP,0.02415736374,short,51.23911127
243984,2020-01-15,VRDN,0.02374302792,short,10.99499989
35114,2020-01-15,BTTR,0.02325582943,short,13.19999981
45129,2020-01-15,CHRW,0.0227523061,short,80.28600921
241429,2020-01-15,VIRX,0.02272731063,short,15.78947353
247210,2020-01-15,WAFD,0.02238384795,short,34.27227269
248289,2020-01-15,WERN,0.02094238363,short,38.36801366
66032,2020-01-15,DRIP,0.02031901451,short,50.62773021
100599,2020-01-15,GUSH,-0.02002994662,long,1308.626433
229801,2020-01-15,TSE,-0.02073738793,long,31.95764348
185721,2020-01-15,RAD,-0.02117257987,long,12.02000046
64787,2020-01-15,DPST,-0.02177405662,long,94.88170707
206838,2020-01-15,SMCI,-0.02236648439,long,27.10000038
89616,2020-01-15,FRC,-0.0227742206,long,116.6366967
109566,2020-01-15,ICHR,-0.02362408695,long,38.84999847
60146,2020-01-15,DAR,-0.02425695185,long,28.55999947
241430,2020-01-16,VIRX,0.06666671499,short,16.84210587
139738,2020-01-16,MDVL,0.06400000254,short,15.96000004
210516,2020-01-16,SPCE,0.06199461367,short,15.76000023
29301,2020-01-16,BLCM,0.05882352941,short,18
146708,2020-01-16,MS,0.05874583624,short,53.14580267
115544,2020-01-16,IRBT,0.05674154855,short,56.43000031
218391,2020-01-16,SURG,0.04857145037,short,18.35000038
196239,2020-01-16,SAVE,0.0478831026,short,41.58000183
54835,2020-01-16,CRTO,0.04779144297,short,14.47000027
246068,2020-01-16,VVNT,0.04499998093,short,10.44999981
33378,2020-01-16,BRTX,0.04444440206,short,18.79999924
185722,2020-01-16,RAD,0.0428682926,short,13.38000011
184802,2020-01-16,QTRX,0.03926098829,short,22.5
203155,2020-01-16,SHAK,0.0372588447,short,70.98999786
250386,2020-01-16,WNS,0.03623923587,short,71.19999695
125670,2020-01-16,KORU,0.03615354195,short,27.79736899
256292,2020-01-16,YNDX,0.03585471324,short,44.77999878
162728,2020-01-16,OCUP,0.0357142515,short,9.279999733
105495,2020-01-16,HOMB,0.03547250232,short,18.89268055
149197,2020-01-16,MX,0.03438392127,short,14.43999958
193754,2020-01-16,RUN,0.03423307914,short,15.71000004
69354,2020-01-16,EAT,0.03166041333,short,43.51658964
16684,2020-01-16,ARNA,0.03009516822,short,46.54999924
206839,2020-01-16,SMCI,0.02888083809,short,28.5
112912,2020-01-16,INDP,0.02857144674,short,43.20000076
157889,2020-01-17,NSPR,0.07758623052,short,18.75
112271,2020-01-17,IMTE,0.07401224121,short,9.649999619
63887,2020-01-17,DMTK,0.06712737389,short,10.81000042
94087,2020-01-17,GDP,0.06010931297,short,9.699999809
241680,2020-01-17,VIVE,0.05476673232,short,10.39999962
207809,2020-01-17,SNAP,0.04657536337,short,19.10000038
156085,2020-01-17,NOG,0.04591829386,short,20.42361306
125102,2020-01-17,KOLD,0.04306890902,short,44.31999969
29302,2020-01-17,BLCM,0.04285712469,short,21.89999962
95768,2020-01-17,GLBS,0.04081632653,short,102
109357,2020-01-17,ICD,0.03948898562,short,17.89999962
33695,2020-01-17,BRZU,0.03816353826,short,1244.262319
29197,2020-01-17,BL,0.03749185262,short,64.19999695
217158,2020-01-17,STT,0.03684989073,short,79.7471349
98930,2020-01-17,GRPN,0.03571428571,short,58
224373,2020-01-17,TGTX,0.03563791942,short,14.52999973
231197,2020-01-17,TTT,0.03489144694,short,62.69987642
226372,2020-01-17,TMV,0.03476665257,short,112.6771928
43645,2020-01-17,CFG,0.03031071859,short,37.13808642
150302,2020-01-17,NAIL,0.02870224688,short,83.08858311
85529,2020-01-17,FHN,0.02717403697,short,15.65022842
91930,2020-01-17,FWBI,0.02608697311,short,11.80000019
132191,2020-01-17,LNDC,0.02517983236,short,11.39999962
221504,2020-01-17,TBT,0.02385685998,short,25.66874928
121008,2020-01-17,JNUG,0.02248705339,short,758.7445561
